epoch,train_patch_rmse,probe_rmse,val_rmse,probe_psnr,val_psnr
1,0.017004191700240725,0.013860926380768234,0.015362129201623434,37.328604972212524,36.458960443973716
2,0.015857735242957735,0.013810668039529917,0.015237347853416945,37.36044833087961,36.51292864710549
3,0.01663656136456487,0.013963765686721065,0.01541799103741992,37.22728331164403,36.39488723937523
4,0.01594461616898177,0.013683974448851348,0.015111862871651498,37.46266068335817,36.60140948466827
5,0.016286637423621547,0.01380803196705024,0.015357604042961468,37.34466572605444,36.441676567883114
6,0.01614439480347914,0.013810587688675331,0.015192145160712427,37.369516276650955,36.572054859094926
7,0.01591134918284744,0.013961860189999554,0.015364228968030608,37.288414462611755,36.513304361687084
8,0.01623897186466423,0.013514781346337181,0.014951630744888108,37.55506430843862,36.68609267379153
9,0.0165768205384844,0.013739812234114622,0.01514513350555863,37.41458168384832,36.59422404188962
10,0.016142336987133625,0.013630104031374381,0.015055472462745268,37.448872281109715,36.60754713394867
11,0.016382407149083875,0.014470419994143622,0.01581392190791861,36.861913013608536,36.11376037550946
12,0.016754322088759585,0.013600796062493778,0.014967749859775073,37.47289082433179,36.66548132412032
13,0.015704686166354467,0.0134011751425771,0.014836096082276236,37.62501247645357,36.75244779105753
14,0.016177487242482955,0.013278966060729598,0.014681409566972859,37.71113185222564,36.864450019998785
15,0.016597578912458895,0.013546266638193935,0.014949477753588592,37.5380175928886,36.68615127856136
16,0.016123886588953164,0.013412889068297693,0.01487381587152361,37.61207832415832,36.75024775430659
17,0.015982414785694964,0.013951699710137351,0.015293130380760885,37.2125804490966,36.450766950312676
18,0.015416505089449884,0.01327863875697055,0.014700233516008286,37.709470820863274,36.83744358168183
19,0.015397454573339096,0.013245663606325748,0.014617785019865435,37.72461475190055,36.89274831281198
20,0.015635903069829937,0.013213595932392453,0.014598785457836267,37.75341316484658,36.906585368711
21,0.015730025232887742,0.013388484671417908,0.014708859152691533,37.650149760146434,36.839731613511844
22,0.015406309276614518,0.013286330145850988,0.014654213183000708,37.701467702726994,36.85158376619932
23,0.015674238927454866,0.01333638742264125,0.014666152634750709,37.694581499112104,36.85555308689978
24,0.01586652972677753,0.013368338729306319,0.014707015618645344,37.643324047973486,36.81802994609364
25,0.015539849647520742,0.013086106992820859,0.014447547148444824,37.847307468191566,36.996053948411685
26,0.015368168268137307,0.013245235068446297,0.0147005266678706,37.70695298364499,36.834877501856795
27,0.015762718029092307,0.013092319499066321,0.014516491850361737,37.82955533328495,36.95355345215661
28,0.015393563068947607,0.013065004576081046,0.014443966015235949,37.85584865067076,37.00213673899267
29,0.015180505225994883,0.013053961894913063,0.01444318316404582,37.8675022104773,37.00207317690496
30,0.015300088289703808,0.013060695936551148,0.014466719450579644,37.862906010134346,36.98747679341667
31,0.01555071692336947,0.013029239793437212,0.014434485831982336,37.87290521828722,37.002561871341236
32,0.015082476445902129,0.0130190095717104,0.014451450249634583,37.87875204964863,36.9948009758795
33,0.015235016917674636,0.012999133264078649,0.014421543277871233,37.8976618343435,37.01813416751126
34,0.015379815359483608,0.012998803482341824,0.01440476388924195,37.89578035319864,37.022357073244
35,0.015312378240303157,0.012984746480808853,0.014386651610752163,37.90612113345179,37.03679364702878
36,0.01544024095175543,0.013050946701292278,0.014476949309731216,37.847639340993304,36.9678801858423
37,0.015117837617651328,0.013003395589340725,0.014386880828228877,37.89752090339595,37.034878518182985
38,0.015275531992672526,0.012992781062791229,0.01438768023753834,37.903878600821145,37.03506780452296
39,0.015101751401042,0.012984184494622356,0.014392561680578604,37.90873277771147,37.032477703089484
40,0.015105361658266984,0.0130165267176156,0.01440413846600405,37.88737474324724,37.02364026368167
